title,price RUB,rating,reviews,Screen Size in,Storage Capacity GB,RAM GB,Features,Brand,Model,Processor,Chipset Model,Lock Status,Network,Operating System,Connectivity,Camera Resolution MP,Colour_AT&T,Colour_Black,Colour_Blue,Colour_Gold,Colour_Green,Colour_Grey,Colour_Multicoloured,Colour_Pink,Colour_Purple,Colour_Red,Colour_Silver,Colour_Unknown,Colour_White,Colour_Yellow,product condition_Unknown,product condition_бу,product condition_восстановленное в хорошем состоянии,product condition_на запчасти,product condition_новое
209,106.08,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,27,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
3,9456.9,0.9400000000000001,0.037109375,0.005411255411255412,0.06158357771260997,0.027450980392156862,44,27,154,14,92,4,1,5,9,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
336,3315.13,0.9,0.00390625,0.004329004329004329,0.01466275659824047,0.011764705882352941,64,10,43,16,44,4,15,5,46,0.02451225612806403,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
238,3171.77,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,30,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
116,4387.68,0.9199999999999999,0.0546875,0.005411255411255412,0.030303030303030304,0.0196078431372549,57,18,101,14,54,4,19,5,61,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
323,67765.21,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.24926686217008798,0.09019607843137255,89,27,162,14,78,4,21,5,34,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
181,3702.17,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,11,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2,84827.42,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.24926686217008798,0.09019607843137255,81,27,161,30,92,7,1,5,30,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
198,3702.17,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,27,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
133,2641.38,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
314,2925.12,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,18,99,30,92,7,5,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
329,5072.25,1.0,0.009765625,0.004329004329004329,0.01466275659824047,0.011764705882352941,81,18,103,14,92,5,19,9,13,0.07953976988494246,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
115,7799.34,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.1241446725317693,0.027450980392156862,42,18,100,15,52,4,7,8,3,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
58,8773.4,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.24926686217008798,0.061817023793276,81,34,40,30,92,7,19,5,23,0.5397698849424712,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
322,13541.34,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.1241446725317693,0.027450980392156862,81,27,215,30,92,7,10,5,23,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
127,7799.34,0.8616241299303946,0.06579324841224019,0.9999999999999999,0.22425696986734306,0.061817023793276,81,19,44,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
237,4232.57,0.96,0.0078125,0.008093434343434344,0.22425696986734306,0.061817023793276,81,30,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
14,46314.35,1.0,0.0078125,0.005411255411255412,0.24926686217008798,0.061817023793276,73,4,22,5,8,2,19,17,33,0.05952976488244122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
16,61427.46,0.9800000000000001,0.0234375,0.005411255411255412,0.24926686217008798,0.043137254901960784,8,4,23,5,92,2,19,17,47,0.05952976488244122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
52,9749.41,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,6,44,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
125,1898.82,0.78,0.064453125,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
233,81415.76,1.0,0.0078125,0.006493506493506494,0.4995112414467253,0.09019607843137255,7,27,167,14,76,2,19,5,54,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
234,77710.61,0.8,0.001953125,0.006493506493506494,0.4995112414467253,0.09019607843137255,7,27,167,14,76,2,19,5,54,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
333,73030.42,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.4995112414467253,0.09019607843137255,90,27,161,14,77,4,11,5,44,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
219,86778.47,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
